26
1000.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,5.0,30.0,673.0,930.0,2.0,10.0,5.0,1
2,1,25.0,30.0,355.0,574.0,3.0,10.0,5.0,1
3,1,65.0,35.0,435.0,960.0,3.0,10.0,5.0,1
4,1,20.0,50.0,72.0,669.0,5.0,10.0,5.0,1
5,1,65.0,20.0,826.0,956.0,6.0,10.0,5.0,1
6,1,35.0,17.0,18.0,792.0,7.0,10.0,5.0,1
7,1,30.0,5.0,176.0,299.0,8.0,10.0,5.0,1
8,1,45.0,65.0,418.0,829.0,9.0,10.0,5.0,1
9,1,10.0,43.0,393.0,492.0,9.0,10.0,5.0,1
10,1,41.0,49.0,190.0,974.0,10.0,10.0,5.0,1
11,1,45.0,20.0,18.0,727.0,11.0,10.0,5.0,1
12,1,20.0,65.0,206.0,325.0,12.0,10.0,5.0,1
13,1,20.0,40.0,229.0,582.0,12.0,10.0,5.0,1
14,1,55.0,45.0,289.0,822.0,13.0,10.0,5.0,1
15,1,55.0,60.0,394.0,503.0,16.0,10.0,5.0,1
16,1,30.0,60.0,517.0,692.0,16.0,10.0,5.0,1
17,1,15.0,60.0,95.0,552.0,17.0,10.0,5.0,1
18,1,45.0,10.0,349.0,554.0,18.0,10.0,5.0,1
19,1,50.0,35.0,15.0,725.0,19.0,10.0,5.0,1
20,1,10.0,20.0,102.0,543.0,19.0,10.0,5.0,1
21,1,55.0,20.0,679.0,800.0,19.0,10.0,5.0,0
22,1,15.0,10.0,32.0,694.0,20.0,10.0,5.0,0
23,1,30.0,25.0,694.0,823.0,23.0,10.0,5.0,0
24,1,15.0,30.0,20.0,906.0,26.0,10.0,5.0,0
25,1,55.0,5.0,206.0,325.0,29.0,10.0,5.0,0
