101
1000.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,40.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,63.0,23.0,198.0,609.0,2.0,10.0,5.0,1
2,1,31.0,67.0,356.0,930.0,3.0,10.0,5.0,1
3,1,61.0,52.0,373.0,928.0,3.0,10.0,5.0,1
4,1,25.0,30.0,25.0,516.0,3.0,10.0,5.0,1
5,1,65.0,35.0,29.0,548.0,3.0,10.0,5.0,1
6,1,20.0,50.0,239.0,630.0,5.0,10.0,5.0,1
7,1,2.0,60.0,135.0,556.0,5.0,10.0,5.0,1
8,1,56.0,37.0,20.0,539.0,6.0,10.0,5.0,1
9,1,37.0,47.0,204.0,633.0,6.0,10.0,5.0,1
10,1,65.0,20.0,39.0,593.0,6.0,10.0,5.0,1
11,1,23.0,3.0,390.0,900.0,7.0,10.0,5.0,1
12,1,63.0,65.0,27.0,622.0,8.0,10.0,5.0,1
13,1,20.0,20.0,430.0,913.0,8.0,10.0,5.0,1
14,1,64.0,42.0,100.0,555.0,9.0,10.0,5.0,1
15,1,27.0,43.0,14.0,506.0,9.0,10.0,5.0,1
16,1,45.0,65.0,110.0,525.0,9.0,10.0,5.0,1
17,1,26.0,52.0,14.0,499.0,9.0,10.0,5.0,1
18,1,87.0,30.0,425.0,898.0,10.0,10.0,5.0,1
19,1,55.0,82.0,49.0,504.0,10.0,10.0,5.0,1
20,1,20.0,82.0,37.0,597.0,10.0,10.0,5.0,1
21,1,60.0,80.0,36.0,658.0,10.0,10.0,5.0,1
22,1,65.0,82.0,410.0,823.0,10.0,10.0,5.0,1
23,1,18.0,80.0,315.0,782.0,10.0,10.0,5.0,1
24,1,2.0,45.0,38.0,606.0,10.0,10.0,5.0,1
25,1,85.0,25.0,51.0,602.0,10.0,10.0,5.0,1
26,1,42.0,5.0,396.0,904.0,10.0,10.0,5.0,1
27,1,42.0,12.0,341.0,658.0,10.0,10.0,5.0,1
28,1,55.0,80.0,33.0,568.0,10.0,10.0,5.0,1
29,1,88.0,30.0,90.0,521.0,10.0,10.0,5.0,1
30,1,90.0,35.0,52.0,536.0,10.0,10.0,5.0,1
31,1,5.0,45.0,35.0,697.0,10.0,10.0,5.0,1
32,1,92.0,30.0,55.0,575.0,10.0,10.0,5.0,1
33,1,38.0,15.0,389.0,914.0,10.0,10.0,5.0,1
34,1,22.0,85.0,353.0,708.0,10.0,10.0,5.0,1
35,1,40.0,5.0,45.0,517.0,10.0,10.0,5.0,1
36,1,15.0,80.0,229.0,624.0,10.0,10.0,5.0,1
37,1,42.0,15.0,391.0,802.0,10.0,10.0,5.0,1
38,1,49.0,58.0,249.0,580.0,10.0,10.0,5.0,1
39,1,5.0,35.0,395.0,911.0,10.0,10.0,5.0,1
40,1,49.0,42.0,442.0,937.0,13.0,10.0,5.0,1
41,1,47.0,47.0,444.0,942.0,13.0,10.0,5.0,1
42,1,12.0,24.0,272.0,565.0,13.0,10.0,5.0,1
43,1,53.0,43.0,14.0,581.0,14.0,10.0,5.0,1
44,1,65.0,55.0,81.0,520.0,14.0,10.0,5.0,1
45,1,37.0,31.0,19.0,566.0,14.0,10.0,5.0,1
46,1,26.0,35.0,149.0,586.0,15.0,10.0,5.0,1
47,1,35.0,40.0,11.0,530.0,16.0,10.0,5.0,1
48,1,41.0,37.0,404.0,847.0,16.0,10.0,5.0,1
49,1,5.0,5.0,63.0,520.0,16.0,10.0,5.0,1
50,1,55.0,60.0,448.0,873.0,16.0,10.0,5.0,1
51,1,30.0,60.0,420.0,897.0,16.0,10.0,5.0,1
52,1,45.0,30.0,20.0,498.0,17.0,10.0,5.0,1
53,1,15.0,60.0,401.0,923.0,17.0,10.0,5.0,1
54,1,57.0,29.0,259.0,650.0,18.0,10.0,5.0,1
55,1,24.0,58.0,90.0,549.0,19.0,10.0,5.0,1
56,1,55.0,20.0,161.0,610.0,19.0,10.0,5.0,1
57,1,50.0,35.0,390.0,843.0,19.0,10.0,5.0,1
58,1,10.0,20.0,42.0,706.0,19.0,10.0,5.0,1
59,1,25.0,85.0,388.0,911.0,20.0,10.0,5.0,1
60,1,18.0,75.0,228.0,667.0,20.0,10.0,5.0,1
61,1,35.0,5.0,386.0,904.0,20.0,10.0,5.0,1
62,1,8.0,45.0,46.0,519.0,20.0,10.0,5.0,1
63,1,95.0,35.0,57.0,600.0,20.0,10.0,5.0,1
64,1,88.0,35.0,50.0,534.0,20.0,10.0,5.0,1
65,1,15.0,10.0,401.0,902.0,20.0,10.0,5.0,1
66,1,44.0,5.0,218.0,571.0,20.0,10.0,5.0,1
67,1,15.0,75.0,161.0,558.0,20.0,10.0,5.0,1
68,1,10.0,35.0,213.0,648.0,20.0,10.0,5.0,1
69,1,67.0,85.0,410.0,905.0,20.0,10.0,5.0,1
70,1,0.0,45.0,394.0,909.0,20.0,10.0,5.0,1
71,1,0.0,40.0,94.0,535.0,20.0,10.0,5.0,1
72,1,2.0,40.0,39.0,528.0,20.0,10.0,5.0,1
73,1,58.0,75.0,201.0,670.0,20.0,10.0,5.0,1
74,1,55.0,85.0,429.0,838.0,20.0,10.0,5.0,1
75,1,20.0,85.0,40.0,630.0,20.0,10.0,5.0,1
76,1,40.0,60.0,436.0,907.0,21.0,10.0,5.0,1
77,1,30.0,25.0,227.0,686.0,23.0,10.0,5.0,1
78,1,35.0,69.0,330.0,930.0,23.0,10.0,5.0,1
79,1,57.0,48.0,265.0,638.0,23.0,10.0,5.0,1
80,1,67.0,5.0,325.0,897.0,25.0,10.0,5.0,1
81,1,55.0,54.0,418.0,825.0,26.0,10.0,5.0,0
82,1,8.0,56.0,190.0,659.0,27.0,10.0,5.0,0
83,1,31.0,52.0,9.0,510.0,27.0,10.0,5.0,0
84,1,21.0,24.0,212.0,605.0,28.0,10.0,5.0,0
85,1,10.0,40.0,404.0,753.0,30.0,10.0,5.0,0
86,1,22.0,75.0,30.0,546.0,30.0,10.0,5.0,0
87,1,72.0,35.0,351.0,782.0,30.0,10.0,5.0,0
88,1,6.0,68.0,215.0,608.0,30.0,10.0,5.0,0
89,1,38.0,5.0,45.0,523.0,30.0,10.0,5.0,0
90,1,95.0,30.0,389.0,788.0,30.0,10.0,5.0,0
91,1,85.0,35.0,342.0,751.0,30.0,10.0,5.0,0
92,1,62.0,80.0,114.0,561.0,30.0,10.0,5.0,0
93,1,60.0,85.0,191.0,586.0,30.0,10.0,5.0,0
94,1,60.0,12.0,125.0,530.0,31.0,10.0,5.0,0
95,1,4.0,18.0,426.0,787.0,35.0,10.0,5.0,0
96,1,40.0,15.0,229.0,640.0,40.0,10.0,5.0,0
97,1,65.0,85.0,43.0,617.0,40.0,10.0,5.0,0
98,1,20.0,80.0,425.0,913.0,40.0,10.0,5.0,0
99,1,8.0,40.0,33.0,511.0,40.0,10.0,5.0,0
100,1,42.0,10.0,85.0,542.0,40.0,10.0,5.0,0
