101
700.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,40.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,52.0,75.0,302.0,479.0,10.0,90.0,45.0,1
2,1,48.0,30.0,246.0,899.0,10.0,90.0,45.0,1
3,1,50.0,30.0,223.0,738.0,10.0,90.0,45.0,1
4,1,38.0,10.0,1392.0,2027.0,10.0,90.0,45.0,1
5,1,42.0,15.0,897.0,1392.0,10.0,90.0,45.0,1
6,1,25.0,35.0,2070.0,2859.0,10.0,90.0,45.0,1
7,1,25.0,30.0,1883.0,2676.0,10.0,90.0,45.0,1
8,1,44.0,25.0,704.0,1197.0,10.0,90.0,45.0,1
9,1,55.0,80.0,379.0,594.0,10.0,90.0,45.0,1
10,1,36.0,40.0,2605.0,3266.0,10.0,90.0,45.0,1
11,1,30.0,35.0,2242.0,2877.0,10.0,90.0,45.0,1
12,1,30.0,30.0,1805.0,2564.0,10.0,90.0,45.0,1
13,1,32.0,20.0,1621.0,2364.0,10.0,90.0,45.0,1
14,1,33.0,35.0,2368.0,2937.0,10.0,90.0,45.0,1
15,1,35.0,32.0,2480.0,3195.0,10.0,90.0,45.0,1
16,1,48.0,20.0,812.0,1281.0,10.0,90.0,45.0,1
17,1,36.0,18.0,1468.0,2329.0,10.0,90.0,45.0,1
18,1,47.0,35.0,393.0,942.0,10.0,90.0,45.0,1
19,1,42.0,30.0,641.0,1070.0,10.0,90.0,45.0,1
20,1,62.0,40.0,2713.0,3275.0,10.0,90.0,45.0,1
21,1,65.0,82.0,708.0,1027.0,10.0,90.0,45.0,1
22,1,60.0,60.0,1440.0,1621.0,10.0,90.0,45.0,1
23,1,60.0,55.0,2789.0,3279.0,10.0,90.0,45.0,1
24,1,56.0,64.0,1275.0,1594.0,10.0,90.0,45.0,1
25,1,66.0,55.0,1710.0,1921.0,10.0,90.0,45.0,1
26,1,47.0,40.0,12.0,424.0,10.0,90.0,45.0,1
27,1,72.0,55.0,1751.0,2072.0,10.0,90.0,45.0,1
28,1,87.0,30.0,2505.0,2870.0,10.0,90.0,45.0,1
29,1,72.0,45.0,2701.0,3258.0,10.0,90.0,45.0,1
30,1,90.0,35.0,2106.0,2315.0,10.0,90.0,45.0,1
31,1,92.0,30.0,2169.0,2818.0,10.0,90.0,45.0,1
32,1,53.0,30.0,131.0,644.0,10.0,90.0,45.0,1
33,1,45.0,35.0,534.0,985.0,10.0,90.0,45.0,1
34,1,85.0,25.0,2369.0,2816.0,10.0,90.0,45.0,1
35,1,5.0,45.0,819.0,1846.0,10.0,90.0,45.0,1
36,1,26.0,32.0,1842.0,2901.0,10.0,90.0,45.0,1
37,1,35.0,66.0,2311.0,3283.0,10.0,90.0,45.0,1
