51
1000.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,40.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,5.0,35.0,593.0,833.0,10.0,10.0,5.0,1
2,1,38.0,15.0,621.0,861.0,10.0,10.0,5.0,1
3,1,90.0,35.0,134.0,374.0,10.0,10.0,5.0,1
4,1,88.0,30.0,186.0,426.0,10.0,10.0,5.0,1
5,1,40.0,5.0,155.0,395.0,10.0,10.0,5.0,1
6,1,42.0,15.0,477.0,717.0,10.0,10.0,5.0,1
7,1,87.0,30.0,561.0,801.0,10.0,10.0,5.0,1
8,1,85.0,25.0,51.0,291.0,10.0,10.0,5.0,1
9,1,65.0,82.0,497.0,737.0,10.0,10.0,5.0,1
10,1,5.0,45.0,35.0,275.0,10.0,10.0,5.0,1
11,1,42.0,12.0,380.0,620.0,10.0,10.0,5.0,1
12,1,92.0,30.0,89.0,329.0,10.0,10.0,5.0,1
13,1,55.0,80.0,33.0,273.0,10.0,10.0,5.0,1
14,1,15.0,80.0,307.0,547.0,10.0,10.0,5.0,1
15,1,55.0,82.0,157.0,397.0,10.0,10.0,5.0,1
16,1,20.0,82.0,37.0,277.0,10.0,10.0,5.0,1
17,1,18.0,80.0,429.0,669.0,10.0,10.0,5.0,1
18,1,2.0,45.0,45.0,285.0,10.0,10.0,5.0,1
19,1,22.0,85.0,411.0,651.0,10.0,10.0,5.0,1
20,1,42.0,5.0,664.0,904.0,10.0,10.0,5.0,1
21,1,60.0,80.0,36.0,276.0,10.0,10.0,5.0,1
22,1,58.0,75.0,316.0,556.0,20.0,10.0,5.0,1
23,1,55.0,85.0,514.0,754.0,20.0,10.0,5.0,1
24,1,67.0,85.0,597.0,837.0,20.0,10.0,5.0,1
25,1,88.0,35.0,105.0,345.0,20.0,10.0,5.0,1
26,1,25.0,85.0,613.0,853.0,20.0,10.0,5.0,1
27,1,35.0,5.0,664.0,904.0,20.0,10.0,5.0,1
28,1,8.0,45.0,163.0,403.0,20.0,10.0,5.0,1
29,1,20.0,85.0,40.0,280.0,20.0,10.0,5.0,1
30,1,18.0,75.0,328.0,568.0,20.0,10.0,5.0,1
31,1,44.0,5.0,275.0,515.0,20.0,10.0,5.0,1
32,1,0.0,45.0,643.0,883.0,20.0,10.0,5.0,1
33,1,15.0,75.0,240.0,480.0,20.0,10.0,5.0,1
34,1,0.0,40.0,195.0,435.0,20.0,10.0,5.0,1
35,1,10.0,35.0,311.0,551.0,20.0,10.0,5.0,1
36,1,2.0,40.0,114.0,354.0,20.0,10.0,5.0,1
37,1,95.0,35.0,86.0,326.0,20.0,10.0,5.0,1
38,1,22.0,75.0,92.0,332.0,30.0,10.0,5.0,1
39,1,10.0,40.0,459.0,699.0,30.0,10.0,5.0,1
40,1,95.0,30.0,469.0,709.0,30.0,10.0,5.0,1
41,1,62.0,80.0,218.0,458.0,30.0,10.0,5.0,0
42,1,85.0,35.0,427.0,667.0,30.0,10.0,5.0,0
43,1,38.0,5.0,141.0,381.0,30.0,10.0,5.0,0
44,1,60.0,85.0,269.0,509.0,30.0,10.0,5.0,0
45,1,72.0,35.0,447.0,687.0,30.0,10.0,5.0,0
46,1,8.0,40.0,135.0,375.0,40.0,10.0,5.0,0
47,1,65.0,85.0,43.0,283.0,40.0,10.0,5.0,0
48,1,42.0,10.0,194.0,434.0,40.0,10.0,5.0,0
49,1,40.0,15.0,315.0,555.0,40.0,10.0,5.0,0
50,1,20.0,80.0,584.0,824.0,40.0,10.0,5.0,0
